názov výrobku	cena s DPH B	merná jednotka	cena za liter/kilo D	liter/kilo E	ml	cena bez dph G	nazov2 H	nazov1 J		
Acetón technický  740 g	4,00	ks	5,405	kg	740	3,33		Acetón technický  740 g	0	23
Akrylátový tmel Špáry a praskliny v stene  280ml	3,80	ks	13,571	L	280	3,17		Akrylát.tmel Špáry a praskliny v stene 280ml	0	48
Americká páska  10 m x 50 mm	4,52	ks				3,77		Americká páska  10 m x 50 mm	0	28
Americká páska  50 m x 50 mm	12,29	ks				10,24		Americká páska  50 m x 50 mm	0	28
Benzín čistiaci  200ml	1,43	ks	7,150	L	200	1,19		Benzín čistiaci  200ml	0	22
Benzín technický  350 g	1,67	ks	4,771	kg	350	1,39		Benzín technický  350 g	0	23
Benzín technický  4,5L	14,28	ks	3,173	L	4500	11,90		Benzín technický  4,5L	0	22
Benzín technický  700 g	2,86	ks	4,086	kg	700	2,38		Benzín technický  700 g	0	23
Blue tape  1,5 m x 19 mm	5,01	ks				4,18		Blue tape  1,5 m x 19 mm	0	24
Brúsna špongia hrubosť  100 - 120 modrá	1,05	ks				0,88		Brúsna špongia hrubosť  100 - 120 modrá	0	39
Brúsna špongia hrubosť  150 - 220 žltá	1,05	ks				0,88		Brúsna špongia hrubosť  150 - 220 žltá	0	38
Brúsna špongia hrubosť  60 - 80 červená	1,05	ks				0,88		Brúsna špongia hrubosť  60 - 80 červená	0	39
CQ fólie pre interiéry  1400mm/33m	4,62	ks				3,85		CQ fólie pre interiéry  1400mm/33m	0	34
CQ fólie pre interiéry  1800mm/33m	5,51	ks				4,59		CQ fólie pre interiéry  1800mm/33m	0	34
CQ fólie pre interiéry  550mm/33m	2,83	ks				2,36		CQ fólie pre interiéry  550mm/33m	0	33
Čepeľ do orezávača 10 ks  18 mm II	1,08	ks				0,90		Čepeľ do orezávača 10 ks  18 mm II	0	34
Demineralizovaná voda  1L	0,91	ks	0,910	L	1000	0,76		Demineralizovaná voda  1L	0	25
Držiak na brúsne mriežky  80x230x80mm	5,18	ks				4,32		Držiak na brúsne mriežky  80x230x80mm	0	37
Držiak na valček  pozinkovaný  25cm, priemer 6mm	0,98	ks				0,82		Držiak na valček  pozink. 25cm priemer 6mm	0	48
Držiak na valček pozinkovaný 18cm, priemer 8mm	1,31	ks				1,09		Držiak na valček pozink. 18cm priemer 8mm	0	46
Držiak na valček pozinkovaný 25cm, priemer 8mm	1,40	ks				1,17		Držiak na valček pozink. 25cm priemer 8mm	0	46
Držiak na valček pozinkovaný 5/20cm, priemer 6mm	0,61	ks				0,51		Držiak na valček pozink. 5/20cm priemer 6mm	0	48
Držiak na valček pozinkovaný  10/27cm, priemer 6mm	0,84	ks				0,70	priemer 6mm	Držiak na valček pozinkovaný  10/27cm	11	37
Dulux Acryl Matt  15 kg (10L)	32,23	ks	3,223	L	10000	26,86		Dulux Acryl Matt  15 kg (10L)	0	29
Dulux Acryl Matt  28,5 kg (19L)	55,62	ks	2,927	L	19000	46,35		Dulux Acryl Matt  28,5 kg (19L)	0	31
Dulux Acryl Matt  28,5 kg (19L)	55,62	ks	2,927	L	19000	46,35		Dulux Acryl Matt  28,5 kg (19L)	0	31
Dulux Acryl Matt  4,5 kg (3L)	11,13	ks	3,710	L	3000	9,28		Dulux Acryl Matt  4,5 kg (3L)	0	29
Dulux Acryl Matt  7,5 kg (5L)	17,48	ks	3,496	L	5000	14,57		Dulux Acryl Matt  7,5 kg (5L)	0	29
